A,B,X,Band_gap,DeltaH,DeltaL,Grain_size,Thickness,PCE,Voc,Jsc,FF
1.0,1.0,1.0,1.5,0.15,0.2,1.154,0.36,20.7,1.11,24.0,0.78
1.0,1.0,1.0,1.59,0.4,0.3,3.0,0.5,20.1,1.03,23.51,0.83
1.0,1.0,1.0,1.55,0.1,0.47,1.8,0.45,18.0,0.92,22.4,0.82
1.0,1.0,1.0,1.5,0.4,0.2,0.1,0.7,11.11,0.946,17.51,0.671
-0.7,1.0,0.7,1.63,0.22,0.18,0.7,0.4,20.61,1.145,23.28,0.76
-0.7,1.0,0.7,1.73,0.18,0.32,0.701,0.5,18.5,1.09,24.42,0.696
-0.7,1.0,0.7,1.73,0.18,0.43,0.11499999999999999,0.5,15.17,1.05,20.49,0.69
-0.68,1.0,0.6599999999999999,1.6,0.41,0.14,0.4,0.35,17.6,1.089,22.38,0.725
-0.68,1.0,0.6599999999999999,1.6,0.41,0.14,0.4,0.35,17.6,1.089,22.38,0.725
-0.68,1.0,0.6599999999999999,1.6,0.45,0.14,0.4,0.35,17.0,1.121,21.0,0.714
-0.68,1.0,0.6599999999999999,1.6,0.45,0.14,0.4,0.35,17.0,1.121,21.34,0.714
-0.7,1.0,0.7,1.59,0.16,0.2,0.175,0.9,20.05,1.1,23.2,0.786
-0.7,1.0,0.7,1.59,0.16,0.3,0.175,0.9,19.23,1.1,22.34,0.782
1.0,1.0,1.0,1.5,0.2,0.3,0.301,0.4,12.3,0.92,18.6,0.72
1.0,1.0,1.0,1.5,0.15,0.3,1.154,0.5,18.1,1.07,22.0,0.768
1.0,1.0,1.0,1.5,0.18,0.2,0.8,0.5,18.55,1.084,22.2,0.771
1.0,1.0,1.0,1.5,0.18,0.2,0.55,0.3,15.7,1.03,20.4,0.749
1.0,1.0,1.0,1.5,0.15,0.2,0.3,0.35,16.22,1.09,19.5,0.76
1.0,1.0,1.0,1.5,0.18,0.2,0.3,0.35,15.9,1.0,21.8,0.726
1.0,1.0,1.0,1.5,0.18,0.2,0.654,0.35,16.11,1.029,21.08,0.745
1.0,1.0,1.0,1.5,0.18,0.2,0.45,0.41,15.4,1.04,23.0,0.64
1.0,1.0,1.0,1.5,0.2,0.0,0.425,0.35,15.15,1.039,20.71,0.704
1.0,1.0,1.0,1.5,0.2,0.3,0.425,0.35,12.33,1.024,17.91,0.672
1.0,1.0,1.0,1.5,0.2,0.3,0.628,0.3,15.01,0.96,19.8,0.79
1.0,1.0,1.0,1.5,0.18,0.32,0.5,0.55,19.2,1.1,22.03,0.785
1.0,1.0,1.0,1.5,0.18,0.3,1.097,0.29,17.35,1.06,20.68,0.791
1.0,1.0,1.0,1.5,0.18,0.11,1.035,0.29,14.38,0.99,20.18,0.72
1.0,1.0,1.0,1.5,0.18,0.38,0.325,0.25,15.0,1.021,21.64,0.679
1.0,1.0,1.0,1.5,0.16,0.22,2.0,0.2,13.34,0.938,19.58,0.726
1.0,1.0,1.0,1.5,0.14,0.3,0.31639999999999996,0.5,16.69,1.047,21.2,0.75
-0.7,1.0,0.7,1.73,0.43,0.18,1.0,0.65,20.75,1.129,23.6,0.779
1.0,1.0,1.0,1.5,0.18,0.3,1.0,0.48,19.5,1.11,22.64,0.776
0.8,1.0,1.0,1.54,0.49,0.05,0.1,0.038,7.68,1.05,10.1,0.73
0.6000000000000001,1.0,1.0,1.57,0.49,0.02,0.1,0.038,4.58,1.04,6.76,0.654
0.8999999999999999,1.0,1.0,1.51,0.49,0.08,0.1,0.038,6.29,1.01,8.69,0.726
